time_s,current_uA,applied_V,force_V,force_mN
52.4,6250.0,0.8,7.644,428.064
52.5,6250.0,0.8,7.644,428.064
52.6,6250.0,0.8,7.644,428.064
52.7,6250.0,0.8,7.644,428.064
52.8,6250.0,0.8,7.642,427.952
52.9,6250.0,0.8,7.642,427.952
53.0,6250.0,0.8,7.642,427.952
53.1,6250.0,0.8,7.642,427.952
53.2,6250.0,0.8,7.642,427.952
53.3,6250.0,0.8,7.643,428.008
53.4,6250.0,0.8,7.643,428.008
53.5,6250.0,0.8,7.643,428.008
53.6,6250.0,0.8,7.643,428.008
53.7,6250.0,0.8,7.643,428.008
53.8,6250.0,0.8,7.644,428.064
53.9,6250.0,0.8,7.644,428.064
54.0,6250.0,0.8,7.644,428.064
54.1,6250.0,0.8,7.644,428.064
54.2,6250.0,0.8,7.644,428.064
54.3,6250.0,0.8,7.644,428.064
54.4,6250.0,0.8,7.644,428.064
54.5,6250.0,0.8,7.644,428.064
54.6,6250.0,0.8,7.644,428.064
54.7,6250.0,0.8,7.644,428.064
54.8,6250.0,0.8,7.646,428.176
54.9,6250.0,0.8,7.646,428.176
55.0,6250.0,0.8,7.646,428.176
55.1,6250.0,0.8,7.646,428.176
55.2,6250.0,0.8,7.646,428.176
55.3,6250.0,0.8,7.642,427.952
55.4,6250.0,0.8,7.642,427.952
55.5,6250.0,0.8,7.642,427.952
55.6,6250.0,0.8,7.642,427.952
55.7,6250.0,0.8,7.642,427.952
55.8,6250.0,0.8,7.643,428.008
55.9,6250.0,0.8,7.643,428.008
56.0,6250.0,0.8,7.643,428.008
56.1,6250.0,0.8,7.643,428.008
56.2,6250.0,0.8,7.643,428.008
56.3,6250.0,0.8,7.643,428.008
56.4,6250.0,0.8,7.643,428.008
56.5,6250.0,0.8,7.643,428.008
56.6,6250.0,0.8,7.643,428.008
56.7,6250.0,0.8,7.643,428.008
56.8,6250.0,0.8,7.644,428.064
56.9,6250.0,0.8,7.644,428.064
57.0,6250.0,0.8,7.644,428.064
57.1,6250.0,0.8,7.644,428.064
57.2,6250.0,0.8,7.644,428.064
57.3,6250.0,0.8,7.644,428.064
57.4,6250.0,0.8,7.644,428.064
57.5,6250.0,0.8,7.644,428.064
57.6,6250.0,0.8,7.644,428.064
57.7,6250.0,0.8,7.644,428.064
57.8,6250.0,0.8,7.643,428.008
57.9,6250.0,0.8,7.643,428.008
58.0,6250.0,0.8,7.643,428.008
58.1,6250.0,0.8,7.643,428.008
58.2,6250.0,0.8,7.643,428.008
58.3,6250.0,0.8,7.645,428.12
58.4,6250.0,0.8,7.645,428.12
58.5,6250.0,0.8,7.645,428.12
58.6,6250.0,0.8,7.645,428.12
58.7,6250.0,0.8,7.645,428.12
58.8,6250.0,0.8,7.645,428.12
