time_s,current_uA,applied_V,force_V_raw,force_V,force_mN,stress_MPa
27.2,6027.48,0.8,11.814,2.363,134.57285000000002,0.17730283267457184
27.3,6028.44,0.8,11.815,2.3628,134.56146,0.17728782608695653
27.4,6027.96,0.8,11.815,2.3628,134.56146,0.17728782608695653
27.5,6029.03,0.8,11.815,2.3628,134.56146,0.17728782608695653
27.6,6029.39,0.8,11.815,2.3628,134.56146,0.17728782608695653
27.7,6030.34,0.8,11.815,2.3628,134.56146,0.17728782608695653
27.8,6030.34,0.8,11.811,2.3628,134.56146,0.17728782608695653
27.9,6036.54,0.8,11.811,2.3628,134.56146,0.17728782608695653
28.0,6038.93,0.8,11.811,2.3628,134.56146,0.17728782608695653
28.1,6040.36,0.8,11.811,2.3628,134.56146,0.17728782608695653
28.2,6039.4,0.8,11.811,2.3628,134.56146,0.17728782608695653
28.3,6036.07,0.8,11.815,2.3628,134.56146,0.17728782608695653
28.4,6036.07,0.8,11.815,2.3628,134.56146,0.17728782608695653
28.5,6037.02,0.8,11.815,2.3628,134.56146,0.17728782608695653
28.6,6041.79,0.8,11.815,2.3628,134.56146,0.17728782608695653
28.7,6044.65,0.8,11.815,2.3628,134.56146,0.17728782608695653
28.8,6045.6,0.8,11.813,2.3628,134.56146,0.17728782608695653
28.9,6044.65,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.0,6047.51,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.1,6043.7,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.2,6047.03,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.3,6045.6,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.4,6048.94,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.5,6047.99,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.6,6050.37,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.7,6049.9,0.8,11.813,2.3628,134.56146,0.17728782608695653
29.8,6051.33,0.8,11.811,2.3628,134.56146,0.17728782608695653
29.9,6054.66,0.8,11.811,2.3628,134.56146,0.17728782608695653
30.0,6054.19,0.8,11.811,2.3628,134.56146,0.17728782608695653
30.1,6057.52,0.8,11.811,2.3628,134.56146,0.17728782608695653
30.2,6059.91,0.8,11.811,2.3628,134.56146,0.17728782608695653
30.3,6061.34,0.8,11.814,2.3628,134.56146,0.17728782608695653
30.4,6059.07,0.8,11.814,2.3628,134.56146,0.17728782608695653
30.5,6057.52,0.8,11.814,2.3628,134.56146,0.17728782608695653
30.6,6057.52,0.8,11.814,2.3628,134.56146,0.17728782608695653
30.7,6058.0,0.8,11.814,2.3628,134.56146,0.17728782608695653
30.8,6059.43,0.8,11.813,2.3628,134.56146,0.17728782608695653
30.9,6057.52,0.8,11.813,2.3628,134.56146,0.17728782608695653
31.0,6059.91,0.8,11.813,2.3628,134.56146,0.17728782608695653
31.1,6058.96,0.8,11.813,2.3628,134.56146,0.17728782608695653
31.2,6065.15,0.8,11.813,2.3628,134.56146,0.17728782608695653
31.3,6068.02,0.8,11.812,2.3628,134.56146,0.17728782608695653
31.4,6068.49,0.8,11.812,2.3628,134.56146,0.17728782608695653
31.5,6069.56,0.8,11.812,2.3628,134.56146,0.17728782608695653
31.6,6070.88,0.8,11.812,2.3628,134.56146,0.17728782608695653
31.7,6070.88,0.8,11.812,2.3628,134.56146,0.17728782608695653
31.8,6071.35,0.8,11.816,2.3628,134.56146,0.17728782608695653
31.9,6072.31,0.8,11.816,2.3628,134.56146,0.17728782608695653
32.0,6071.83,0.8,11.816,2.3628,134.56146,0.17728782608695653
32.1,6076.6,0.8,11.816,2.3628,134.56146,0.17728782608695653
32.2,6077.55,0.8,11.816,2.3628,134.56146,0.17728782608695653
32.3,6077.55,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.4,6076.6,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.5,6078.03,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.6,6081.84,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.7,6077.08,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.8,6082.32,0.8,11.812,2.3626,134.55007,0.17727281949934126
32.9,6080.89,0.8,11.812,2.3626,134.55007,0.17727281949934126
33.0,6078.51,0.8,11.812,2.3626,134.55007,0.17727281949934126
33.1,6082.8,0.8,11.812,2.3626,134.55007,0.17727281949934126
33.2,6078.98,0.8,11.812,2.3626,134.55007,0.17727281949934126
33.3,6084.7,0.8,11.815,2.3626,134.55007,0.17727281949934126
33.4,6085.66,0.8,11.815,2.3626,134.55007,0.17727281949934126
