frame,t_s,x_px,y_px,score,disp_mm,dx_mm,dy_mm
260,10.4,1808.150,613.966,0.9989,0.5004,0.2536,0.4314
261,10.44,1808.387,614.837,0.9995,0.5182,0.2585,0.4492
262,10.48,1808.218,614.982,0.9992,0.5191,0.2550,0.4521
263,10.52,1808.299,614.322,0.9987,0.5082,0.2567,0.4386
264,10.56,1808.594,614.668,0.9990,0.5174,0.2627,0.4457
265,10.6,1808.516,616.383,0.9988,0.5470,0.2611,0.4807
266,10.64,1808.672,616.532,0.9981,0.5512,0.2643,0.4837
267,10.68,1809.434,615.400,0.9987,0.5390,0.2798,0.4606
268,10.72,1808.886,616.379,0.9983,0.5506,0.2687,0.4806
269,10.76,1808.603,616.918,0.9996,0.5575,0.2629,0.4916
270,10.8,1809.090,615.758,0.9986,0.5417,0.2728,0.4680
271,10.84,1808.977,616.211,0.9983,0.5486,0.2705,0.4772
272,10.88,1808.058,616.327,0.9976,0.5416,0.2518,0.4796
273,10.92,1807.277,614.648,0.9990,0.5039,0.2358,0.4453
274,10.96,1806.519,612.841,0.9996,0.4641,0.2203,0.4084
275,11.0,1804.802,611.708,0.9984,0.4276,0.1853,0.3853
276,11.04,1803.445,610.245,0.9990,0.3888,0.1576,0.3555
277,11.08,1801.175,607.844,0.9982,0.3260,0.1113,0.3064
278,11.12,1795.604,600.507,0.9944,0.1567,-0.0024,0.1567
279,11.16,1785.719,588.780,0.9844,0.2202,-0.2041,-0.0826
280,11.2,1774.220,575.414,0.9681,0.5647,-0.4388,-0.3554
281,11.24,1762.169,562.813,0.9614,0.9187,-0.6847,-0.6125
282,11.28,1750.295,552.548,0.9510,1.2390,-0.9271,-0.8220
283,11.32,1740.311,543.131,0.9471,1.5190,-1.1308,-1.0142
284,11.36,1731.669,533.743,0.9477,1.7784,-1.3072,-1.2058
285,11.4,1730.846,516.863,0.9469,2.0387,-1.3240,-1.5503
286,11.44,1720.861,498.370,0.9342,2.4597,-1.5278,-1.9277
287,11.48,1712.347,485.640,0.9480,2.7714,-1.7015,-2.1875
288,11.52,1705.209,478.778,0.9550,2.9715,-1.8472,-2.3276
289,11.56,1702.753,471.495,0.9548,3.1195,-1.8973,-2.4762
290,11.6,1698.148,463.002,0.9616,3.3144,-1.9913,-2.6495
291,11.64,1691.441,454.859,0.9666,3.5295,-2.1282,-2.8157
292,11.68,1685.402,447.250,0.9719,3.7277,-2.2514,-2.9710
293,11.72,1681.763,440.883,0.9726,3.8761,-2.3257,-3.1009
294,11.76,1679.262,436.002,0.9759,3.9865,-2.3767,-3.2005
295,11.8,1675.480,431.615,0.9760,4.1044,-2.4539,-3.2901
296,11.84,1671.352,425.645,0.9751,4.2525,-2.5382,-3.4119
297,11.88,1669.852,419.287,0.9719,4.3751,-2.5688,-3.5417
298,11.92,1669.903,414.364,0.9749,4.4563,-2.5677,-3.6421
299,11.96,1668.080,409.955,0.9784,4.5513,-2.6049,-3.7321
300,12.0,1664.820,405.316,0.9853,4.6670,-2.6715,-3.8268
301,12.04,1660.744,400.643,0.9854,4.7928,-2.7547,-3.9221
302,12.08,1657.502,397.277,0.9888,4.8871,-2.8208,-3.9908
303,12.12,1655.492,394.942,0.9905,4.9497,-2.8618,-4.0385
304,12.16,1654.512,392.940,0.9913,4.9946,-2.8818,-4.0793
305,12.2,1653.144,390.929,0.9911,5.0442,-2.9097,-4.1204
306,12.24,1651.680,389.167,0.9927,5.0908,-2.9396,-4.1564
307,12.28,1650.653,387.173,0.9935,5.1362,-2.9606,-4.1970
308,12.32,1649.625,385.683,0.9933,5.1731,-2.9816,-4.2275
309,12.36,1648.653,383.983,0.9949,5.2129,-3.0014,-4.2621
310,12.4,1647.658,381.464,0.9930,5.2666,-3.0217,-4.3136
311,12.44,1646.373,378.131,0.9954,5.3374,-3.0479,-4.3816
312,12.48,1645.821,377.390,0.9946,5.3563,-3.0592,-4.3967
313,12.52,1646.284,378.124,0.9957,5.3386,-3.0498,-4.3817
