time_s,current_uA,voltage_V
91.1,2998.72,11.216
91.2,2998.72,11.2166
91.3,2998.72,11.2172
91.4,2998.72,11.2178
91.5,2998.72,11.2184
91.6,2998.72,11.219
91.7,2998.72,11.214
91.8,2998.72,11.214
91.9,2998.72,11.218
92.0,2998.72,11.2285
92.1,2998.72,11.22375
92.2,2998.72,11.219
92.3,2998.72,11.219
92.4,2998.72,11.217
92.5,2998.72,11.217
92.6,2998.72,11.2175
92.7,2998.72,11.218
92.8,2998.72,11.224166666666664
92.9,2998.72,11.230333333333332
93.0,2998.72,11.222666666666669
93.1,2998.72,11.215
93.2,2998.72,11.215
93.3,2998.72,11.217
93.4,2998.72,11.219
93.5,2998.72,11.214
93.6,2998.72,11.214
93.7,2998.72,11.219
93.8,2998.72,11.217
93.9,2998.72,11.217
94.0,2998.72,11.217
94.1,2998.72,11.219
94.2,2998.72,11.215
94.3,2998.72,11.215
94.4,2998.72,11.215
94.5,2998.72,11.216
94.6,2998.72,11.221
94.7,2998.72,11.226
94.8,2998.72,11.2202
94.9,2998.72,11.2144
95.0,2998.72,11.2086
95.1,2998.72,11.2028
95.2,2998.72,11.197
95.3,2998.72,11.197
95.4,2998.72,11.197
95.5,2998.72,11.194
95.6,2998.72,11.194
95.7,2998.72,11.194
95.8,2998.72,11.19425
95.9,2998.72,11.1945
96.0,2998.72,11.19475
96.1,2998.72,11.183375000000002
96.2,2998.72,11.172
96.3,2998.72,11.149
96.4,2998.72,11.138749999999998
96.5,2998.72,11.1285
96.6,2998.72,11.131
96.7,2998.72,11.1405
96.8,2998.72,11.15
96.9,2998.72,11.1595
97.0,2998.72,11.169
97.1,2998.72,11.1785
97.2,2998.72,11.188
97.3,2998.72,11.183
97.4,2998.72,11.183
97.5,2998.72,11.183
97.6,2998.72,11.1852
97.7,2998.72,11.1874
97.8,2998.72,11.1896
97.9,2998.72,11.1918
98.0,2998.72,11.194
98.1,2998.72,11.1815
98.2,2998.72,11.169
98.3,2998.72,11.144
98.4,2998.72,11.1315
98.5,2998.72,11.119
98.6,2998.72,11.113
98.7,2998.72,11.118
98.8,2998.72,11.123
98.9,2998.72,11.132
99.0,2998.72,11.141
99.1,2998.72,11.15
99.2,2998.72,11.159
99.3,2998.72,11.152
99.4,2998.72,11.145
99.5,2998.72,11.138
99.6,2998.72,11.138
99.7,2998.72,11.138
99.8,2998.72,11.131
99.9,2998.72,11.131
